kpi,settimana,mese,trimestre,semestre,anno,userid,indicatorsprev,indicatorscons
VSDPersonale,25,6,2,1,2025,2e64a0dc2dbd0cdc197a35a4,120.0,120.0
VSDPersonale,25,6,2,1,2025,2e64a0dc2dbd0cdc197a35a4,2000.0,2000.0
VSDPersonale,24,6,2,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,24,6,2,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,24,6,2,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,24,6,2,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,23,6,2,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,23,6,2,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,23,6,2,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,21,5,2,1,2025,2e64a0dc2dbd0cdc197a35a4,2000.0,2000.0
VSDPersonale,21,5,2,1,2025,2e64a0dc2dbd0cdc197a35a4,300.0,300.0
VSDPersonale,21,5,2,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,21,5,2,1,2025,2e64a0dc2dbd0cdc197a35a4,300.0,300.0
VSDPersonale,21,5,2,1,2025,2e64a0dc2dbd0cdc197a35a4,120.0,120.0
VSDPersonale,20,5,2,1,2025,2e64a0dc2dbd0cdc197a35a4,2000.0,2000.0
VSDPersonale,20,5,2,1,2025,2e64a0dc2dbd0cdc197a35a4,2000.0,2000.0
VSDPersonale,20,5,2,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,19,5,2,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,17,4,2,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,17,4,2,1,2025,2e64a0dc2dbd0cdc197a35a4,300.0,300.0
VSDPersonale,17,4,2,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,17,4,2,1,2025,2e64a0dc2dbd0cdc197a35a4,300.0,300.0
VSDPersonale,17,4,2,1,2025,2e64a0dc2dbd0cdc197a35a4,2000.0,2000.0
VSDPersonale,15,4,2,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,15,4,2,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,15,4,2,1,2025,2e64a0dc2dbd0cdc197a35a4,700.0,700.0
VSDPersonale,14,4,2,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,14,4,2,1,2025,2e64a0dc2dbd0cdc197a35a4,2000.0,2000.0
VSDPersonale,12,3,1,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,12,3,1,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,10,3,1,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,10,3,1,1,2025,2e64a0dc2dbd0cdc197a35a4,300.0,300.0
VSDPersonale,9,2,1,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,9,2,1,1,2025,2e64a0dc2dbd0cdc197a35a4,380.0,380.0
VSDPersonale,9,2,1,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,9,2,1,1,2025,2e64a0dc2dbd0cdc197a35a4,300.0,300.0
VSDPersonale,7,2,1,1,2025,2e64a0dc2dbd0cdc197a35a4,300.0,300.0
VSDPersonale,7,2,1,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,7,2,1,1,2025,2e64a0dc2dbd0cdc197a35a4,700.0,700.0
VSDPersonale,6,2,1,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,5,1,1,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,4,1,1,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,3,1,1,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,3,1,1,1,2025,2e64a0dc2dbd0cdc197a35a4,300.0,300.0
VSDPersonale,3,1,1,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,3,1,1,1,2025,2e64a0dc2dbd0cdc197a35a4,2000.0,2000.0
VSDPersonale,3,1,1,1,2025,2e64a0dc2dbd0cdc197a35a4,300.0,300.0
VSDPersonale,51,12,4,2,2024,2e64a0dc2dbd0cdc197a35a4,300.0,300.0
VSDPersonale,51,12,4,2,2024,2e64a0dc2dbd0cdc197a35a4,300.0,300.0
VSDPersonale,49,12,4,2,2024,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,48,11,4,2,2024,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,48,11,4,2,2024,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,48,11,4,2,2024,2e64a0dc2dbd0cdc197a35a4,300.0,300.0
VSDPersonale,48,11,4,2,2024,2e64a0dc2dbd0cdc197a35a4,600.0,600.0
VSDPersonale,47,11,4,2,2024,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,46,11,4,2,2024,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,46,11,4,2,2024,2e64a0dc2dbd0cdc197a35a4,2000.0,2000.0
VSDPersonale,45,11,4,2,2024,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,45,11,4,2,2024,2e64a0dc2dbd0cdc197a35a4,500.0,500.0
VSDPersonale,44,10,4,2,2024,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,44,10,4,2,2024,2e64a0dc2dbd0cdc197a35a4,300.0,300.0
VSDPersonale,44,10,4,2,2024,2e64a0dc2dbd0cdc197a35a4,500.0,500.0
VSDPersonale,44,10,4,2,2024,2e64a0dc2dbd0cdc197a35a4,700.0,700.0
VSDPersonale,43,10,4,2,2024,2e64a0dc2dbd0cdc197a35a4,2000.0,2000.0
VSDPersonale,43,10,4,2,2024,2e64a0dc2dbd0cdc197a35a4,700.0,700.0
VSDPersonale,43,10,4,2,2024,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
