mese,vss,vsdpersonale,vsdindiretto,nncf
8,4160.0,4820.0,0.0,4.0
7,12510.0,5260.0,4000.0,10.0
6,700.0,11140.0,2000.0,0.0
5,1200.0,9720.0,5600.0,0.0
4,47890.0,10300.0,2600.0,1.0
3,0.0,3300.0,8000.0,0.0
2,16780.0,5680.0,2700.0,2.0
1,10790.0,6600.0,6000.0,0.0
